銘柄名,銘柄コード,市場
極洋,1301.T,JP
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,1305.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,1306.T,JP
上場インデックスファンドＴＯＰＩＸ,1308.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,1309.T,JP
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,1311.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,1319.T,JP
ＣＣＮグループ,131A.T,JP
ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,1320.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,1321.T,JP
上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,1322.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,1325.T,JP
ＳＰＤＲゴールド・シェア,1326.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,1328.T,JP
ｉシェアーズ・コア　日経２２５　ＥＴＦ,1329.T,JP
アイエヌホールディングス,132A.T,JP
上場インデックスファンド２２５,1330.T,JP
ニッスイ,1332.T,JP
マルハニチロ,1333.T,JP
グローバルＸ　超短期米国債　ＥＴＦ,133A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,1343.T,JP
上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,1345.T,JP
ＭＡＸＩＳ　日経２２５上場投信,1346.T,JP
ＭＡＸＩＳ　トピックス上場投信,1348.T,JP
ＡＢＦ汎アジア債券インデックス・ファンド,1349.T,JP
アプライズ,134A.T,JP
ＴＯＰＩＸベア２倍上場投信,1356.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,1357.T,JP
上場インデックスファンド日経レバレッジ指数,1358.T,JP
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A.T,JP
日経平均ベア２倍上場投信,1360.T,JP
ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,1364.T,JP
ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,1365.T,JP
ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,1366.T,JP
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,1367.T,JP
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,1368.T,JP
Ｏｎｅ　ＥＴＦ　日経２２５,1369.T,JP
三興商事,136A.T,JP
雪国まいたけ,1375.T,JP
カネコ種苗,1376.T,JP
サカタのタネ,1377.T,JP
ホクト,1379.T,JP
Ｃｏｃｏｌｉｖｅ,137A.T,JP
秋川牧園,1380.T,JP
アクシーズ,1381.T,JP
ホーブ,1382.T,JP
ベルグアース,1383.T,JP
ホクリヨウ,1384.T,JP
光フードサービス,138A.T,JP
ＳＭＤＡＭ　日経２２５上場投信,1397.T,JP
ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,1398.T,JP
上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,1399.T,JP
東日本地所,139A.T,JP
エムビーエス,1401.T,JP
ウエストホールディングス,1407.T,JP
ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,140A.T,JP
ショーボンドホールディングス,1414.T,JP
ミライト・ワン,1417.T,JP
インターライフホールディングス,1418.T,JP
タマホーム,1419.T,JP
トライアルホールディングス,141A.T,JP
サンヨーホームズ,1420.T,JP
日本アクア,1429.T,JP
ジンジブ,142A.T,JP
ファーストコーポレーション,1430.T,JP
Ｌｉｂ　Ｗｏｒｋ,1431.T,JP
動力,1432.T,JP
ベステラ,1433.T,JP
ＪＥＳＣＯホールディングス,1434.T,JP
ｒｏｂｏｔ　ｈｏｍｅ,1435.T,JP
グリーンエナジー＆カンパニー,1436.T,JP
岐阜造園,1438.T,JP
イシン,143A.T,JP
技研ホールディングス,1443.T,JP
ニッソウ,1444.T,JP
ひかりホールディングス,1445.T,JP
キャンディル,1446.T,JP
ＳＡＡＦホールディングス,1447.T,JP
エネルギーパワー,144A.T,JP
田中建設工業,1450.T,JP
横浜ライト工業,1452.T,JP
ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,1456.T,JP
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,1457.T,JP
楽天ＥＴＦ‐日経レバレッジ指数連動型,1458.T,JP
楽天ＥＴＦ‐日経ダブルインバース指数連動型,1459.T,JP
Ｌ　ｉｓ　Ｂ,145A.T,JP
ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,1466.T,JP
ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,1469.T,JP
コロンビア・ワークス,146A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,1472.T,JP
Ｏｎｅ　ＥＴＦ　トピックス,1473.T,JP
Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,1474.T,JP
ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,1475.T,JP
ｉシェアーズ・コア　Ｊリート　ＥＴＦ,1476.T,JP
ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,1477.T,JP
ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,1478.T,JP
ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,1479.T,JP
ソラコム,147A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,1480.T,JP
上場インデックスファンド日本経済貢献株,1481.T,JP
ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,1482.T,JP
ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,1483.T,JP
Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,1484.T,JP
ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,1485.T,JP
上場インデックスファンド米国債券（為替ヘッジなし）,1486.T,JP
上場インデックスファンド米国債券（為替ヘッジあり）,1487.T,JP
ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,1488.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,1489.T,JP
ハッチ・ワーク,148A.T,JP
上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,1490.T,JP
中外鉱業,1491.T,JP
Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,1493.T,JP
Ｏｎｅ　ＥＴＦ　高配当日本株,1494.T,JP
上場インデックスファンドアジアリート,1495.T,JP
ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,1496.T,JP
ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,1497.T,JP
Ｏｎｅ　ＥＴＦ　ＥＳＧ,1498.T,JP
ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,1499.T,JP
シンカ,149A.T,JP
ＪＳＨ,150A.T,JP
住石ホールディングス,1514.T,JP
日鉄鉱業,1515.T,JP
三井松島ホールディングス,1518.T,JP
ダイブ,151A.T,JP
オプティ,152A.T,JP
カウリス,153A.T,JP
純金上場信託（現物国内保管型）,1540.T,JP
純プラチナ上場信託（現物国内保管型）,1541.T,JP
純銀上場信託（現物国内保管型）,1542.T,JP
純パラジウム上場信託（現物国内保管型）,1543.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,1545.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,1546.T,JP
上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,1547.T,JP
ＧＡＩＡ,154A.T,JP
ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,1550.T,JP
東証スタンダードＴＯＰ２０ＥＴＦ,1551.T,JP
上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,1554.T,JP
上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,1555.T,JP
ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,1557.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,1559.T,JP
情報戦略テクノロジー,155A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,1560.T,JP
東証グロース・コアＥＴＦ,1563.T,JP
上場インデックスファンド新興国債券,1566.T,JP
ＴＯＰＩＸブル２倍上場投信,1568.T,JP
ＴＯＰＩＸベア上場投信,1569.T,JP
マテリアルグループ,156A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,1570.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,1571.T,JP
中国Ｈ株ブル２倍上場投信,1572.T,JP
中国Ｈ株ベア上場投信,1573.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,1577.T,JP
上場インデックスファンド日経２２５（ミニ）,1578.T,JP
日経平均ブル２倍上場投信,1579.T,JP
グリーンモンスター,157A.T,JP
日経平均ベア上場投信,1580.T,JP
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1585.T,JP
上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1586.T,JP
エクセリ,158A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,1591.T,JP
上場インデックスファンドＪＰＸ日経インデックス４００,1592.T,JP
ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,1593.T,JP
ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,1595.T,JP
